t_ms,joyY,joyX,tgtL,actL,thrL,ageL,tgtR,actR,thrR,ageR
3653,0,0,0,0,0,9999,0,0,0,9999
3663,0,0,0,0,0,9999,0,0,0,9999
3673,0,0,0,0,0,9999,0,0,0,9999
3683,0,0,0,0,0,9999,0,0,0,9999
3693,0,0,0,0,0,9999,0,0,0,9999
3703,0,0,0,0,0,9999,0,0,0,9999
3713,0,0,0,0,0,9999,0,0,0,9999
3723,0,0,0,0,0,9999,0,0,0,9999
3733,0,0,0,0,0,9999,0,0,0,9999
3743,0,0,0,0,0,9999,0,0,0,9999
3753,0,0,0,0,0,9999,0,0,0,9999
3763,0,0,0,0,0,9999,0,0,0,9999
3773,0,0,0,0,0,9999,0,0,0,9999
3783,0,0,0,0,0,9999,0,0,0,9999
3793,0,0,0,0,0,9999,0,0,0,9999
3803,0,0,0,0,0,9999,0,0,0,0
3813,0,0,0,0,0,0,0,0,0,10
3823,0,0,0,0,0,9,0,0,0,0
3833,0,0,0,0,0,20,0,0,0,10
3843,0,0,0,0,0,30,0,0,0,20
3853,0,0,0,0,0,40,0,0,0,30
3863,0,0,0,0,0,50,0,0,0,40
3873,0,0,0,0,0,0,0,0,0,50
3883,0,0,0,0,0,10,0,0,0,60
3893,0,0,0,0,0,20,0,0,0,70
3903,0,0,0,0,0,30,0,0,0,80
3913,0,0,0,0,0,40,0,0,0,90
3923,0,0,0,0,0,50,0,0,0,100
3933,0,0,0,0,0,60,0,0,0,110
3943,0,0,0,0,0,68,0,0,0,0
3953,0,0,0,0,0,80,0,0,0,11
3963,0,0,0,0,0,90,0,0,0,21
3973,0,0,0,0,0,0,0,0,0,29
3983,0,0,0,0,0,9,0,0,0,0
3993,0,0,0,0,0,0,0,0,0,10
4003,0,0,0,0,0,9,0,0,0,0
4013,0,0,0,0,0,0,0,0,0,10
4023,0,0,0,0,0,9,0,0,0,0
4033,0,0,0,0,0,0,0,0,0,11
4043,0,0,0,0,0,10,0,0,0,21
4053,0,0,0,0,0,0,0,0,0,28
4063,0,0,0,0,0,9,0,0,0,0
4073,0,0,0,0,0,0,0,0,0,10
4083,0,0,0,0,0,10,0,0,0,0
4093,0,0,0,0,0,0,0,0,0,8
4103,0,0,0,0,0,12,0,0,0,20
4113,0,0,0,0,0,0,0,0,0,29
4123,0,0,0,0,0,10,0,0,0,0
4133,0,0,0,0,0,20,0,0,0,10
4143,0,0,0,0,0,30,0,0,0,20
4158,0,0,0,0,0,46,0,0,0,36
4168,0,0,0,0,0,55,0,0,0,45
4178,0,0,0,0,0,65,0,0,0,55
4188,0,0,0,0,0,75,0,0,0,65
4198,0,0,0,0,0,85,0,0,0,75
4208,0,0,0,0,0,95,0,0,0,85
4218,0,0,0,0,0,105,0,0,0,95
4228,0,0,0,0,0,115,0,0,0,105
4238,0,0,0,0,0,125,0,0,0,115
4248,0,0,0,0,0,135,0,0,0,125
4258,0,0,0,0,0,145,0,0,0,135
4268,0,0,0,0,0,155,0,0,0,145
4278,0,0,0,0,0,166,0,0,0,155
4288,0,0,0,0,0,175,0,0,0,165
4298,0,0,0,0,0,185,0,0,0,175
4308,0,0,0,0,0,195,0,0,0,185
4318,0,0,0,0,0,205,0,0,0,195
4328,0,0,0,0,0,215,0,0,0,205
4338,0,0,0,0,0,225,0,0,0,215
4348,0,0,0,0,0,235,0,0,0,225
4358,0,0,0,0,0,245,0,0,0,235
4368,0,0,0,0,0,255,0,0,0,245
4378,0,0,0,0,0,265,0,0,0,255
4388,0,0,0,0,0,275,0,0,0,265
4398,0,0,0,0,0,285,0,0,0,275
4408,0,0,0,0,0,295,0,0,0,285
4418,0,0,0,0,0,305,0,0,0,295
4428,0,0,0,0,0,315,0,0,0,305
4438,0,0,0,0,0,325,0,0,0,315
4448,0,0,0,0,0,335,0,0,0,325
4458,0,0,0,0,0,345,0,0,0,335
4468,0,0,0,0,0,355,0,0,0,345
4478,0,0,0,0,0,365,0,0,0,355
4488,0,0,0,0,0,375,0,0,0,365
4498,0,0,0,0,0,385,0,0,0,375
4508,0,0,0,0,0,395,0,0,0,385
4518,0,0,0,0,0,405,0,0,0,395
4528,0,0,0,0,0,415,0,0,0,405
4538,0,0,0,0,0,425,0,0,0,415
4548,0,0,0,0,0,435,0,0,0,425
4558,0,0,0,0,0,445,0,0,0,435
4568,0,0,0,0,0,455,0,0,0,445
4578,0,0,0,0,0,465,0,0,0,455
4588,0,0,0,0,0,475,0,0,0,465
4598,0,0,0,0,0,485,0,0,0,475
4608,0,0,0,0,0,495,0,0,0,485
4618,0,0,0,0,0,505,0,0,0,495
4628,0,0,0,0,0,515,0,0,0,505
4638,0,0,0,0,0,525,0,0,0,515
4648,0,0,0,0,0,535,0,0,0,525
4663,0,0,0,0,0,551,0,0,0,541
4673,0,0,0,0,0,560,0,0,0,550
4683,0,0,0,0,0,570,0,0,0,560
4693,0,0,0,0,0,580,0,0,0,570
4703,0,0,0,0,0,590,0,0,0,580
4713,0,0,0,0,0,600,0,0,0,590
4723,0,0,0,0,0,610,0,0,0,600
4733,0,0,0,0,0,621,0,0,0,610
4743,0,0,0,0,0,630,0,0,0,620
4753,0,0,0,0,0,640,0,0,0,630
4763,0,0,0,0,0,650,0,0,0,640
4773,0,0,0,0,0,660,0,0,0,650
4783,0,0,0,0,0,670,0,0,0,660
4793,0,0,0,0,0,680,0,0,0,670
4803,0,0,0,0,0,690,0,0,0,680
4813,0,0,0,0,0,700,0,0,0,690
4823,0,0,0,0,0,710,0,0,0,700
4833,0,0,0,0,0,720,0,0,0,710
4843,0,0,0,0,0,730,0,0,0,720
4853,0,0,0,0,0,740,0,0,0,730
4863,0,0,0,0,0,750,0,0,0,740
4873,0,0,0,0,0,760,0,0,0,750
4883,0,0,0,0,0,770,0,0,0,760
4893,0,0,0,0,0,780,0,0,0,770
4903,0,0,0,0,0,790,0,0,0,780
4913,0,0,0,0,0,800,0,0,0,790
4923,0,0,0,0,0,810,0,0,0,800
4933,0,0,0,0,0,820,0,0,0,810
4943,0,0,0,0,0,830,0,0,0,820
4953,0,0,0,0,0,840,0,0,0,830
4963,0,0,0,0,0,850,0,0,0,840
4973,0,0,0,0,0,860,0,0,0,850
4983,0,0,0,0,0,870,0,0,0,860
4993,0,0,0,0,0,880,0,0,0,870
5003,0,0,0,0,0,890,0,0,0,880
5013,0,0,0,0,0,900,0,0,0,890
5023,0,0,0,0,0,910,0,0,0,900
5033,0,0,0,0,0,920,0,0,0,910
5043,0,0,0,0,0,930,0,0,0,920
5053,0,0,0,0,0,940,0,0,0,930
5063,0,0,0,0,0,950,0,0,0,940
5073,0,0,0,0,0,960,0,0,0,950
5083,0,0,0,0,0,970,0,0,0,960
5093,0,0,0,0,0,980,0,0,0,970
5103,0,0,0,0,0,990,0,0,0,980
5113,0,0,0,0,0,1000,0,0,0,990
5123,0,0,0,0,0,1010,0,0,0,1000
5133,0,0,0,0,0,1020,0,0,0,1010
5143,0,0,0,0,0,1030,0,0,0,1020
5153,0,0,0,0,0,1040,0,0,0,1030
5168,0,0,0,0,0,1056,0,0,0,1046
5178,0,0,0,0,0,1065,0,0,0,1055
5188,0,0,0,0,0,1075,0,0,0,1065
5198,0,0,0,0,0,1085,0,0,0,1075
5208,0,0,0,0,0,1095,0,0,0,1085
5218,0,0,0,0,0,1105,0,0,0,1095
5228,0,0,0,0,0,1115,0,0,0,1105
5238,0,0,0,0,0,1125,0,0,0,1115
5248,0,0,0,0,0,1135,0,0,0,1125
5258,0,0,0,0,0,1145,0,0,0,1135
5268,0,0,0,0,0,1155,0,0,0,1145
5278,0,0,0,0,0,1165,0,0,0,1155
5288,0,0,0,0,0,1175,0,0,0,1165
5298,0,0,0,0,0,1185,0,0,0,1175
5308,0,0,0,0,0,1195,0,0,0,1185
5318,0,0,0,0,0,1205,0,0,0,1195
5328,0,0,0,0,0,1215,0,0,0,1205
5338,0,0,0,0,0,1225,0,0,0,1215
5348,0,0,0,0,0,1235,0,0,0,1225
5358,0,0,0,0,0,1245,0,0,0,1235
5368,0,0,0,0,0,1255,0,0,0,1245
5378,0,0,0,0,0,1265,0,0,0,1255
5388,0,0,0,0,0,1275,0,0,0,1265
5398,0,0,0,0,0,1285,0,0,0,1275
5408,0,0,0,0,0,1295,0,0,0,1285
5418,0,0,0,0,0,1305,0,0,0,1295
5428,0,0,0,0,0,1315,0,0,0,1305
5438,0,0,0,0,0,1325,0,0,0,1315
5448,0,0,0,0,0,1335,0,0,0,1325
5458,0,0,0,0,0,1345,0,0,0,1335
5468,0,0,0,0,0,1355,0,0,0,1345
5478,0,0,0,0,0,1365,0,0,0,1355
5488,0,0,0,0,0,1375,0,0,0,1365
5498,0,0,0,0,0,1385,0,0,0,1375
5508,0,0,0,0,0,1395,0,0,0,1385
5518,0,0,0,0,0,1404,0,0,0,0
5528,0,0,0,0,0,0,0,0,0,10
5538,0,0,0,0,0,9,0,0,0,0
5548,0,0,0,0,0,0,0,0,0,9
5558,0,0,0,0,0,10,0,0,0,0
5568,0,0,0,0,0,0,0,0,0,9
5578,0,0,0,0,0,9,0,0,0,0
5588,0,0,0,0,0,0,0,0,0,10
5598,0,0,0,0,0,9,0,0,0,0
5608,0,0,0,0,0,0,0,0,0,10
5618,0,0,0,0,0,9,0,0,0,0
5628,0,0,0,0,0,0,0,0,0,10
5638,0,0,0,0,0,9,0,0,0,0
5648,0,0,0,0,0,0,0,0,0,10
5658,0,0,0,0,0,9,0,0,0,0
5672,0,0,0,0,0,0,0,0,0,14
5682,0,0,0,0,0,9,0,0,0,0
5692,0,0,0,0,0,0,0,0,0,10
5702,0,0,0,0,0,9,0,0,0,0
5712,0,0,0,0,0,0,0,0,0,10
5722,0,0,0,0,0,9,0,0,0,0
5732,0,0,0,0,0,0,0,0,0,10
5742,0,0,0,0,0,9,0,0,0,0
5752,0,0,0,0,0,0,0,0,0,10
5762,0,0,0,0,0,9,0,0,0,0
