t_ms,joyY,joyX,tgtL,actL,thrL,ageL,tgtR,actR,thrR,ageR
7890,0,0,0,0,0,0,0,0,0,9
7900,0,0,0,0,0,10,0,0,0,0
7910,0,0,0,0,0,0,0,0,0,9
7920,0,0,0,0,0,10,0,0,0,0
7930,0,0,0,0,0,0,0,0,0,9
7940,0,0,0,0,0,9,0,0,0,0
7950,0,0,0,0,0,0,0,0,0,10
7960,0,0,0,0,0,9,0,0,0,0
7970,0,0,0,0,0,0,0,0,0,10
7980,0,0,0,0,0,9,0,0,0,0
7990,0,0,0,0,0,0,0,0,0,10
8000,0,0,0,0,0,9,0,0,0,0
8010,0,0,0,0,0,0,0,0,0,10
8020,0,0,0,0,0,9,0,0,0,0
8030,0,0,0,0,0,0,0,0,0,10
8040,0,0,0,0,0,9,0,0,0,0
8050,0,0,0,0,0,0,0,0,0,10
8060,0,0,0,0,0,9,0,0,0,0
8070,0,0,0,0,0,0,0,0,0,10
8080,0,0,0,0,0,9,0,0,0,0
8090,0,0,0,0,0,0,0,0,0,10
8100,0,0,0,0,0,9,0,0,0,0
8110,0,0,0,0,0,0,0,0,0,9
8120,0,0,0,0,0,10,0,0,0,0
8130,0,0,0,0,0,0,0,0,0,9
8140,0,0,0,0,0,10,0,0,0,0
8150,0,0,0,0,0,0,0,0,0,9
8160,0,0,0,0,0,10,0,0,0,0
8170,0,0,0,0,0,0,0,0,0,9
8180,0,0,0,0,0,10,0,0,0,0
8190,0,0,0,0,0,0,0,0,0,9
8200,0,0,0,0,0,9,0,0,0,0
8213,0,0,0,0,0,0,0,0,0,14
8223,0,0,0,0,0,8,0,0,0,0
8233,0,0,0,0,0,0,0,0,0,10
8243,0,0,0,0,0,9,0,0,0,0
8253,0,0,0,0,0,0,0,0,0,10
8263,0,0,0,0,0,9,0,0,0,0
8273,0,0,0,0,0,0,0,0,0,10
8283,0,0,0,0,0,9,0,0,0,0
8293,0,0,0,0,0,0,0,0,0,10
8303,0,0,0,0,0,9,0,0,0,0
8313,0,0,0,0,0,0,0,0,0,10
8323,0,0,0,0,0,9,0,0,0,0
8333,0,0,0,0,0,0,0,0,0,10
8343,0,0,0,0,0,9,0,0,0,0
8353,0,0,0,0,0,0,0,0,0,10
8363,0,0,0,0,0,9,0,0,0,0
8373,0,0,0,0,0,0,0,0,0,10
8383,0,0,0,0,0,9,0,0,0,0
8393,0,0,0,0,0,0,0,0,0,9
8403,0,0,0,0,0,10,0,0,0,0
8413,0,0,0,0,0,0,0,0,0,9
8423,0,0,0,0,0,10,0,0,0,0
8433,0,0,0,0,0,0,0,0,0,9
8443,0,0,0,0,0,10,0,0,0,0
8453,0,0,0,0,0,0,0,0,0,9
8463,0,0,0,0,0,10,0,0,0,0
8473,0,0,0,0,0,0,0,0,0,9
8483,0,0,0,0,0,9,0,0,0,0
8493,0,0,0,0,0,0,0,0,0,10
8503,0,0,0,0,0,9,0,0,0,0
8513,0,0,0,0,0,0,0,0,0,10
8523,0,0,0,0,0,9,0,0,0,0
8533,0,0,0,0,0,0,0,0,0,10
8543,0,0,0,0,0,9,0,0,0,0
8553,0,0,0,0,0,0,0,0,0,10
8563,0,0,0,0,0,9,0,0,0,0
8573,0,0,0,0,0,0,0,0,0,10
8583,0,0,0,0,0,9,0,0,0,0
8593,0,0,0,0,0,0,0,0,0,10
8603,0,0,0,0,0,9,0,0,0,0
8613,0,0,0,0,0,0,0,0,0,10
8623,0,0,0,0,0,9,0,0,0,0
8633,0,0,0,0,0,0,0,0,0,10
8643,0,0,0,0,0,9,0,0,0,0
8653,0,0,0,0,0,0,0,0,0,10
8663,0,0,0,0,0,9,0,0,0,0
8673,0,0,0,0,0,0,0,0,0,9
8683,0,0,0,0,0,10,0,0,0,0
8693,0,0,0,0,0,0,0,0,0,9
8703,0,0,0,0,0,10,0,0,0,0
8716,0,0,50,0,50,0,50,0,50,13
8726,0,0,50,0,50,9,50,0,50,0
8736,0,0,50,0,50,0,50,0,50,9
8746,0,0,50,0,50,9,50,0,50,0
8756,0,0,50,0,50,0,50,0,50,10
8766,0,0,50,0,50,9,50,0,50,0
8776,0,0,50,0,50,0,50,0,50,10
8786,0,0,50,0,50,9,50,0,50,0
8796,0,0,50,0,50,0,50,0,50,10
8806,0,0,50,0,50,9,50,0,50,0
8816,0,0,50,0,50,0,50,0,50,10
8826,0,0,50,0,50,9,50,0,50,0
8836,0,0,50,0,50,0,50,0,50,10
8846,0,0,50,0,50,9,50,0,50,0
8856,0,0,50,0,50,0,50,0,50,10
8866,0,0,50,0,50,9,50,0,50,0
8876,0,0,50,0,50,0,50,0,50,10
8886,0,0,50,0,50,9,50,0,50,0
8896,0,0,50,0,50,0,50,0,50,9
8906,0,0,50,0,50,10,50,0,50,0
8916,0,0,50,0,50,0,50,0,50,9
8926,0,0,50,0,50,10,50,0,50,0
8936,0,0,50,0,50,0,50,0,50,9
8946,0,0,50,0,50,10,50,0,50,0
8956,0,0,50,0,50,0,50,0,50,9
8966,0,0,50,0,50,10,50,0,50,0
8976,0,0,50,0,50,0,50,0,50,9
8986,0,0,50,0,50,10,50,0,50,0
8996,0,0,50,0,50,0,50,0,50,9
9006,0,0,50,0,50,10,50,0,50,0
9016,0,0,50,0,50,0,50,0,50,9
